step,train_loss,cos_update_oracle,cos_update_proxy,ca_top1,ca_top5,asr_top1,asr_top5
0,0.0,,,0.52,0.81,0.075,0.2
5,0.07770738005638123,,,0.531,0.81,0.172,0.372
10,0.07791545987129211,-0.21224042773246765,0.17300619184970856,0.513,0.81,0.244,0.486
20,0.07578755915164948,0.017663592472672462,0.4899478256702423,0.504,0.811,0.372,0.646
30,0.1457105129957199,-0.4454798400402069,-0.4035719037055969,0.499,0.809,0.356,0.617
50,0.2860111892223358,0.1509326845407486,-0.37796446681022644,0.505,0.801,0.39,0.644
100,0.08535061776638031,-0.14114108681678772,0.12054458260536194,0.495,0.801,0.405,0.653
200,0.08792220056056976,0.27318018674850464,-0.050538111478090286,0.513,0.807,0.341,0.612
300,0.0807511955499649,0.18969590961933136,0.09180279821157455,0.517,0.81,0.362,0.624
