# ImmuneCLIP downstream | objective=contrastive ft=full ckpt=/root/autodl-tmp/experiments/artifacts/outputs/E1_clean_purified_controls/checkpoints/clean_openai_rn50_state.pt
# steps=300 eval_every=50 eval_steps=[5, 10, 20, 30, 50, 100, 200, 300] lr=1e-06 seed=42 downstream=cc3m num_classes=0 target=banana patch=ours_tnature/middle/16/opti_patches/badCLIP.jpg meta={'cc3m_csv': '/root/autodl-tmp/datasets/cc3m_badclip/GCC_Training500K/cc3m_natural_10K_no_banana_strict.csv'}
{"step": 0, "train_loss": 0.0, "ca_top1": 0.589, "ca_top5": 0.864, "asr_top1": 0.0, "asr_top5": 0.003}
{"step": 5, "train_loss": 0.3033914566040039, "ca_top1": 0.577, "ca_top5": 0.862, "asr_top1": 0.001, "asr_top5": 0.005}
{"step": 10, "train_loss": 0.3924157917499542, "ca_top1": 0.573, "ca_top5": 0.854, "asr_top1": 0.001, "asr_top5": 0.004}
{"step": 20, "train_loss": 0.019998913630843163, "ca_top1": 0.558, "ca_top5": 0.857, "asr_top1": 0.001, "asr_top5": 0.005}
{"step": 30, "train_loss": 0.568708062171936, "ca_top1": 0.545, "ca_top5": 0.839, "asr_top1": 0.001, "asr_top5": 0.004}
{"step": 50, "train_loss": 0.5356923341751099, "ca_top1": 0.536, "ca_top5": 0.839, "asr_top1": 0.001, "asr_top5": 0.005}
{"step": 100, "train_loss": 0.003458611899986863, "ca_top1": 0.535, "ca_top5": 0.837, "asr_top1": 0.001, "asr_top5": 0.005}
{"step": 200, "train_loss": 0.24900078773498535, "ca_top1": 0.537, "ca_top5": 0.843, "asr_top1": 0.001, "asr_top5": 0.004}
{"step": 300, "train_loss": 0.14253844320774078, "ca_top1": 0.554, "ca_top5": 0.849, "asr_top1": 0.001, "asr_top5": 0.004}
