step,train_loss,cos_update_oracle,cos_update_proxy,ca_top1,ca_top5,asr_top1,asr_top5
0,0.0,,,0.52,0.81,0.075,0.2
5,0.07771353423595428,,-0.0344657376408577,0.523,0.811,0.168,0.361
10,0.07788238674402237,,0.014731630682945251,0.513,0.808,0.224,0.462
20,0.07604630291461945,,-0.013986882753670216,0.498,0.801,0.256,0.518
30,0.14651744067668915,,0.03423241153359413,0.505,0.805,0.241,0.493
50,0.2866203486919403,,-0.032952241599559784,0.508,0.81,0.275,0.528
100,0.08472229540348053,,0.009885645471513271,0.498,0.803,0.261,0.518
200,0.08491956442594528,,0.038320522755384445,0.51,0.805,0.23,0.475
300,0.08381927013397217,,0.029105884954333305,0.511,0.813,0.242,0.499
