step,train_loss,cos_update_oracle,cos_update_proxy,ca_top1,ca_top5,asr_top1,asr_top5
0,0.0,,,0.52,0.81,0.075,0.2
5,0.07641525566577911,-0.23242662847042084,,0.525,0.812,0.165,0.352
10,0.07692613452672958,-0.18913191556930542,,0.493,0.808,0.233,0.463
20,0.0762956291437149,0.23297716677188873,,0.489,0.804,0.258,0.512
30,0.15108826756477356,-0.14391914010047913,,0.494,0.799,0.247,0.477
50,0.2883453369140625,0.13011856377124786,,0.495,0.802,0.263,0.507
100,0.08553135395050049,-0.056276045739650726,,0.5,0.797,0.267,0.497
200,0.1178988516330719,0.34294983744621277,,0.508,0.801,0.245,0.464
300,0.09986560046672821,0.24137459695339203,,0.512,0.805,0.247,0.476
