step,train_loss,cos_update_oracle,cos_update_proxy,ca_top1,ca_top5,asr_top1,asr_top5
0,0.0,,,0.52,0.81,0.075,0.2
5,0.07684571295976639,-0.5238083004951477,,0.523,0.812,0.122,0.277
10,0.07547405362129211,-0.2861254811286926,,0.493,0.807,0.133,0.307
20,0.0778445154428482,0.07690935581922531,,0.491,0.803,0.12,0.269
30,0.14380711317062378,-0.18806175887584686,,0.497,0.802,0.061,0.154
50,0.2838105857372284,-0.013438545167446136,,0.498,0.806,0.022,0.086
100,0.09029176086187363,0.5100840926170349,,0.498,0.802,0.001,0.008
200,0.09006324410438538,0.393887996673584,,0.504,0.804,0.001,0.001
300,0.0756949782371521,-0.10012976825237274,,0.51,0.806,0.0,0.0
