step,train_loss,cos_update_oracle,cos_update_proxy,ca_top1,ca_top5,asr_top1,asr_top5
0,0.0,,,0.52,0.81,0.075,0.2
5,0.07743346691131592,0.015302928164601326,0.010378938168287277,0.529,0.811,0.219,0.455
10,0.07634765654802322,-0.007988047786056995,-0.028713688254356384,0.507,0.806,0.338,0.597
20,0.07685144245624542,-0.001612746505998075,-0.008339602500200272,0.499,0.808,0.436,0.712
30,0.14907890558242798,-0.025951916351914406,-0.04717526212334633,0.496,0.803,0.405,0.678
50,0.28271469473838806,-0.01814027689397335,-0.09429901838302612,0.507,0.804,0.44,0.715
100,0.08731690049171448,0.028959104791283607,0.08964630961418152,0.499,0.801,0.431,0.704
200,0.10255444049835205,-0.015921110287308693,-0.03388232737779617,0.514,0.803,0.392,0.668
300,0.09047895669937134,0.02593914233148098,0.04942270368337631,0.515,0.813,0.406,0.696
