nodefense_badCLIP_sam_only,"{'zeroshot_top1': 0.97848, 'zeroshot_top3': 0.99156, 'zeroshot_top5': 0.99442, 'zeroshot_top10': 0.99676}"
nodefense_badCLIP_sam_only,"{'zeroshot_top1': 0.97926, 'zeroshot_top3': 0.99232, 'zeroshot_top5': 0.9952, 'zeroshot_top10': 0.99722}"
nodefense_badCLIP_sam_only,"{'zeroshot_top1': 0.9835, 'zeroshot_top3': 0.99382, 'zeroshot_top5': 0.9959, 'zeroshot_top10': 0.99768}"
nodefense_badCLIP_sam_only,"{'zeroshot_top1': 0.9853, 'zeroshot_top3': 0.99428, 'zeroshot_top5': 0.99624, 'zeroshot_top10': 0.99782}"
nodefense_badCLIP_sam_only,"{'zeroshot_top1': 0.9862, 'zeroshot_top3': 0.99476, 'zeroshot_top5': 0.99658, 'zeroshot_top10': 0.998}"
nodefense_badCLIP_sam_only,"{'zeroshot_top1': 0.98592, 'zeroshot_top3': 0.99448, 'zeroshot_top5': 0.99644, 'zeroshot_top10': 0.998}"
eval_imagenet1k_ca_nodefense_badCLIP_sam_only,"{'zeroshot_top1': 0.55844, 'zeroshot_top3': 0.77098, 'zeroshot_top5': 0.83966, 'zeroshot_top10': 0.90606}"
eval_imagenet1k_asr_nodefense_badCLIP_sam_only,"{'zeroshot_top1': 0.98594, 'zeroshot_top3': 0.99448, 'zeroshot_top5': 0.99644, 'zeroshot_top10': 0.998}"
sbl_full_smoke_512,"{'zeroshot_top1': 0.0, 'zeroshot_top3': 0.0, 'zeroshot_top5': 0.0, 'zeroshot_top10': 0.0}"
sbl_full_smoke_512,"{'zeroshot_top1': 0.0, 'zeroshot_top3': 0.0, 'zeroshot_top5': 0.0, 'zeroshot_top10': 0.0}"
sbl_full_smoke_512,"{'zeroshot_top1': 0.0, 'zeroshot_top3': 0.0, 'zeroshot_top5': 0.0, 'zeroshot_top10': 0.0}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.00056, 'zeroshot_top3': 0.00132, 'zeroshot_top5': 0.00202, 'zeroshot_top10': 0.00396}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.00132, 'zeroshot_top3': 0.00554, 'zeroshot_top5': 0.01356, 'zeroshot_top10': 0.04368}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.80196, 'zeroshot_top3': 0.89096, 'zeroshot_top5': 0.9182, 'zeroshot_top10': 0.94736}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.89064, 'zeroshot_top3': 0.95276, 'zeroshot_top5': 0.96934, 'zeroshot_top10': 0.98284}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.95718, 'zeroshot_top3': 0.98292, 'zeroshot_top5': 0.98892, 'zeroshot_top10': 0.99374}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.96644, 'zeroshot_top3': 0.98716, 'zeroshot_top5': 0.99158, 'zeroshot_top10': 0.99536}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.97724, 'zeroshot_top3': 0.99176, 'zeroshot_top5': 0.99452, 'zeroshot_top10': 0.99698}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.97934, 'zeroshot_top3': 0.99202, 'zeroshot_top5': 0.99488, 'zeroshot_top10': 0.99698}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.98048, 'zeroshot_top3': 0.993, 'zeroshot_top5': 0.99552, 'zeroshot_top10': 0.99734}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.98214, 'zeroshot_top3': 0.99366, 'zeroshot_top5': 0.9957, 'zeroshot_top10': 0.99744}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.98194, 'zeroshot_top3': 0.9936, 'zeroshot_top5': 0.99574, 'zeroshot_top10': 0.99748}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.98086, 'zeroshot_top3': 0.99272, 'zeroshot_top5': 0.99506, 'zeroshot_top10': 0.99704}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.97972, 'zeroshot_top3': 0.99236, 'zeroshot_top5': 0.99488, 'zeroshot_top10': 0.99696}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.98082, 'zeroshot_top3': 0.99272, 'zeroshot_top5': 0.9952, 'zeroshot_top10': 0.9971}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.98022, 'zeroshot_top3': 0.99246, 'zeroshot_top5': 0.99504, 'zeroshot_top10': 0.9971}"
nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.97972, 'zeroshot_top3': 0.99236, 'zeroshot_top5': 0.99506, 'zeroshot_top10': 0.99708}"
eval_imagenet1k_ca_nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.55382, 'zeroshot_top3': 0.76688, 'zeroshot_top5': 0.836, 'zeroshot_top10': 0.90454}"
eval_imagenet1k_asr_nodefense_badCLIP_sam_ewc,"{'zeroshot_top1': 0.97972, 'zeroshot_top3': 0.99236, 'zeroshot_top5': 0.99506, 'zeroshot_top10': 0.99708}"
eval_asr_verify,"{'zeroshot_top1': 0.82042, 'zeroshot_top3': 0.93236, 'zeroshot_top5': 0.9563, 'zeroshot_top10': 0.97524}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00062, 'zeroshot_top3': 0.00134, 'zeroshot_top5': 0.00208, 'zeroshot_top10': 0.00428}"
badclip_gradient_align_week2_v2,"{'zeroshot_top1': 0.00062, 'zeroshot_top3': 0.00134, 'zeroshot_top5': 0.00208, 'zeroshot_top10': 0.00428}"
badclip_gradient_align_final,"{'zeroshot_top1': 0.00062, 'zeroshot_top3': 0.00134, 'zeroshot_top5': 0.00208, 'zeroshot_top10': 0.00428}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00062, 'zeroshot_top3': 0.00134, 'zeroshot_top5': 0.00208, 'zeroshot_top10': 0.00428}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00062, 'zeroshot_top3': 0.00134, 'zeroshot_top5': 0.00208, 'zeroshot_top10': 0.00428}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00138, 'zeroshot_top3': 0.00376, 'zeroshot_top5': 0.0072, 'zeroshot_top10': 0.01588}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00104, 'zeroshot_top3': 0.00236, 'zeroshot_top5': 0.00384, 'zeroshot_top10': 0.00796}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.0004, 'zeroshot_top3': 0.00066, 'zeroshot_top5': 0.00082, 'zeroshot_top10': 0.0015}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.0007, 'zeroshot_top3': 0.0013, 'zeroshot_top5': 0.00196, 'zeroshot_top10': 0.0036}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00064, 'zeroshot_top3': 0.00132, 'zeroshot_top5': 0.00222, 'zeroshot_top10': 0.004}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00068, 'zeroshot_top3': 0.00132, 'zeroshot_top5': 0.0022, 'zeroshot_top10': 0.00442}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.0007, 'zeroshot_top3': 0.0015, 'zeroshot_top5': 0.0022, 'zeroshot_top10': 0.00468}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00068, 'zeroshot_top3': 0.00146, 'zeroshot_top5': 0.00218, 'zeroshot_top10': 0.0045}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00068, 'zeroshot_top3': 0.00138, 'zeroshot_top5': 0.00214, 'zeroshot_top10': 0.0047}"
badclip_gradient_align_week2,"{'zeroshot_top1': 0.00068, 'zeroshot_top3': 0.00122, 'zeroshot_top5': 0.0021, 'zeroshot_top10': 0.00448}"
badclip_bdtarget_l5_gradhinge_l02_ep3,"{'zeroshot_top1': 0.00062, 'zeroshot_top3': 0.00134, 'zeroshot_top5': 0.00208, 'zeroshot_top10': 0.00428}"
badclip_bdtarget_l5_gradhinge_l02_ep3,"{'zeroshot_top1': 0.00268, 'zeroshot_top3': 0.00664, 'zeroshot_top5': 0.01074, 'zeroshot_top10': 0.02014}"
badclip_zsbd_l5_gradhinge_l005_ep3,"{'zeroshot_top1': 0.00062, 'zeroshot_top3': 0.00134, 'zeroshot_top5': 0.00208, 'zeroshot_top10': 0.0043}"
badclip_dynzs_l2_gradhinge_l002_ep3,"{'zeroshot_top1': 0.00062, 'zeroshot_top3': 0.00134, 'zeroshot_top5': 0.00208, 'zeroshot_top10': 0.00428}"
badclip_dynzs_l2_gradhinge_l002_ep3_fix,"{'zeroshot_top1': 0.00062, 'zeroshot_top3': 0.00134, 'zeroshot_top5': 0.00208, 'zeroshot_top10': 0.00428}"
